province_id,province_name
101,Thành phố Hà Nội
223,Tỉnh Bắc Ninh
225,Tỉnh Quảng Ninh
103,Tp Hải Phòng
109,Tỉnh Hưng Yên
117,Tỉnh Ninh Bình
203,Tỉnh Cao Bằng
211,Tỉnh Tuyên Quang
205,Tỉnh Lào Cai
215,Tỉnh Thái Nguyên
209,Tỉnh Lạng Sơn
217,Tỉnh Phú Thọ
301,Tỉnh Điện Biên
302,Tỉnh Lai Châu
303,Tỉnh Sơn La
401,Tỉnh Thanh Hóa
403,Tỉnh Nghệ An
405,Tỉnh Hà Tĩnh
409,Tỉnh Quảng Trị
411,Thành phố Huế
501,Tp Đà Nẵng
505,Tỉnh Quảng Ngãi
511,Tỉnh Khánh Hòa
603,Tỉnh Gia Lai
605,Tỉnh Đắk Lắk
703,Tỉnh Lâm Đồng
709,Tỉnh Tây Ninh
713,Tỉnh Đồng Nai
701,Tp Hồ Chí Minh
809,Tỉnh Vĩnh Long
803,Tỉnh Đồng Tháp
805,Tỉnh An Giang
815,Tp Cần Thơ
823,Tỉnh Cà Mau
