street_id,street_name
A001,Alexandre De Rhodes
A002,An Bình
A003,An Dương Vương
A004,An Điềm
A005,An Tôn
A006,Âu Cơ
A007,Âu Dương Lân
A008,Ấp Bắc
A009,Ba Vân
A010,Ba Đình
A011,Ba Gia
A012,30 Tháng 4
A013,3 Tháng 2
A014,Ba Vì
A015,Bác Ái
A016,Bà Hạt
A017,Bà Hom
A018,Bà Huyện Thanh Quan
A019,Bà Ký
A020,Bà Lê Chân
A021,Bà Triệu
A022,Bạch Đằng
A023,Bạch Mã
A024,Bạch Vân
A025,Bãy Sậy
A026,Bàn Cờ
A027,Bắc Hải
A028,Bành Văn Trân
A029,Bàu Cát
A030,Bình Đông
A031,Bình Giã
A032,Bình Long
A033,Bình Phú
A034,Bình Quới
A035,Bình Tây
A036,Bình Thới
A037,Bình Tiên
A038,Bông Sao
A039,Bùi Đình Túy
A040,Bùi Huy Bích
A041,Bùi Hữu Nghĩa
A042,Bùi Minh Trực
A043,Bùi Thị Xuân
A044,Bùi Viện
A045,Bửu Long
A046,Bến Cát
A047,Calmette
A048,Cao Bá Nhạ
A049,Cao Đạt
A050,Cao Thắng
A051,Cao Văn Lầu
A052,Cách Mạng
A053,Cách Mạng Tháng Tám
A054,Cây Điệp
A055,Cây Tràm
A056,Cầm Bá Thước
A057,Cần Giuộc
A058,Cầu Xéo
A059,Chánh Hưng
A060,Châu Thới
A061,Châu Văn Liêm
A062,Châu Văn Tiếp
A063,Chấn Hưng
A064,Chiến Thắng
A065,Chợ Lớn
A066,Chu Mạnh Trinh
A067,Chu Văn An
A068,Chùa Phật Án
A069,Chương Dương
A070,Cô Bắc
A071,Cô Giang
A072,Công Chúa Ngọc Hân
A073,Cống Quỳnh
A074,Cộng Hòa
A075,Cửu Long
A076,Dạ Nam
A077,Dã Tượng
A078,Dân Tộc
A079,Dân Trí
A080,Duy Tân
A081,Dương Bá Trạc
A082,Dương Quảng Hàn
A083,Dương Tử Giang
A084,Đại Nghĩa
A085,Đào Cam Mộc
A086,Đào Duy Từ
A087,Đao Nguyên Phổ
A088,Đặng Dung
A089,Đằng Nguyên Cẩn
A090,Đằng Tất
A091,Đằng Thái Thân
A092,Đằng Văn Ngữ
A093,Đất Thánh
A094,Đất Mới
A095,Đề Thám
A096,Điện Biên Phủ
A097,Đinh Bộ Lĩnh
A098,Đinh Công Tráng
A099,Đinh Hòa
A100,Đinh Tiên Hoàng
A101,Địa Đạo
A102,Đoàn C.Bửu
A103,Đoàn Nhữ Hải
A104,Đoàn Thị Điểm
A105,Đoàn Văn Bơ
A106,Đô Thành
A107,Đông Du
A108,Đông Hồ
A109,Đông Sơn
A110,Đống Đa
A111,Đồ Sơn
A112,Đồng Đen
A113,Đồng Khởi
A114,Đồng Nai
A115,Đồng Xoài
A116,Độc Lập
A117,Đỗ Ngọc Thạnh
A118,Gia Phú
A119,Giải Phóng
A120,Gio An
A121,Gò Công
A122,Gò Dầu
A123,Hai Bà Trưng
A124,26 Tháng 3
A125,27 Tháng 3
A126,Hải Nguyên
A127,Hải Thượng Lãn Ông
A128,Hải Triều
A129,Hà Tôn Quyền
A130,Hàm Nghi
A131,Hàm Tử
A132,Hàn Hải Nguyên
A133,Hàn Thuyên
A134,Hạnh Thông
A135,Hậu Giang
A136,Hẻm 158
A137,Hẻm Âu Cơ
A138,Hẻm Hương Lộ 14
A139,Hẻm Lạc Long Quân
A140,Hồ Huấn Nghiệp
A141,Hồng Minh Trí
A142,Hưng Sơn
A143,Hương Lộ 2
A144,Hương Lộ 22
A145,Hiền Vương
A146,Hiệp Nhất
A147,Hiệp Hòa
A148,Hòa Bình
A149,Hòa Hảo
A150,Hòa Hưng
A151,Hoàng Diệu
A152,Hoàng Hoa Thám
A153,Hoàng Minh Giám
A154,Hoàng Ngọc Phách
A155,Hoàng Sa
A156,Hoàng Văn Thụ
A157,Hoàng Việt
A158,Học Lạc
A159,Hồ Bá Kiện
A160,Hồ Biểu Chánh
A161,Hồ Hảo Hớn
A162,Hồ Ngọc Cẩn
A163,Hồ Tùng Mậu
A164,Hồ Văn Huê
A165,Hồ Xuân Hương
A166,Hồng Bàng
A167,Hồng Hà
A168,Hồng Lạc
A169,Hồng Lĩnh
A170,Huyền Toại
A171,Huyền Trân Công Chúa
A172,Huỳnh Đình Hai
A173,Huỳnh Khương An
A174,Huỳnh Khương Ninh
A175,Huỳnh Mẫn Đạt
A176,Hoàng Sỹ Khải
A177,Huỳnh Tấn Phát
A178,Huỳnh Thiện Lộc
A179,Huỳnh Thoại Yến
A180,Huỳnh Thúc Kháng
A181,Huỳnh Tịnh Của
A182,Huỳnh Văn Bánh
A183,Huỳnh Văn Chính
A184,Hùng Vương
A185,Hưng Phú
A186,Hương Giang
A187,Kha Vạn Cân
A188,Khánh Hội
A189,Khải Hưng
A190,Khuông Việt
A191,Kim Biên
A192,Kinh Dương Vương
A193,Ký Con
A194,Kỳ Đồng
A195,Kỳ Hòa
A196,Lam Sơn
A197,Lạc Long Quân
A198,Lãnh Binh Thăng
A199,Lão Tử
A200,Lập Hưng
A201,Lê Công Kiều
A202,Lê Duẩn
A203,Lê Đại Hành
A204,Lê Đình Cẩn
A205,Lê Hồng Phong
A206,Lê Lai
A207,Lê Lợi
A208,Lê Minh Xuân
A209,Lê Quang Định
A210,Lê Quang Kim
A211,Lê Quang Sung
A212,Lê Quốc Hưng
A213,Lê Quý Đôn
A214,Lê Sát
A215,Lê Thánh Tôn
A216,Lê Thị Bạch Cát
A217,Lê Thị Hồng Gấm
A218,Lê Thị Riêng
A219,Lê Trọng Tấn
A220,Lê Trực
A221,Lê Tung
A222,Lê Văn Hưu
A223,Lê Văn Linh
A224,Lê Văn Lương
A225,Lê Văn Phúc
A226,Lê Văn Sĩ
A227,Lê Văn Thọ
A228,Long Hưng
A229,Lò Gốm
A230,Lò Siêu
A231,Lũy Bán Bích
A232,Lương Định Của
A233,Lương Hữu Khánh
A234,Lương Ngọc Quyến
A235,Lương Nhữ Học
A236,Lương Văn Can
A237,Lữ Gia
A238,Lý Chính Thắng
A239,Lý Chiêu Hoàng
A240,Lý Nam Đế
A241,Lý Thái Tổ
A242,Lý Thường Kiệt
A243,Lý Tự Trọng
A244,Lý Văn Phức
A245,Mã Lò
A246,Mạc Cửu
A247,Mạc Đỉnh Chi
A248,Mạc Thiên Tích
A249,Mạc Thị Bưởi
A250,Mạc Văn
A251,Mai Khôi
A252,Mai Thị Lựu
A253,Mai Văn Ngọc
A254,Mai Xuân Thượng
A255,Mê Linh
A256,Mễ Cốc
A257,Minh Phụng
A258,Nam Kỳ Khởi Nghĩa
A259,Nam Quốc Cang
A260,Nam Sài Gòn
A261,Nghĩa Hòa
A262,Nghĩa Phát
A263,Nghĩa Thục
A264,Ngọc Uyển
A265,Ngô Đức Kế
A266,Ngô Gia Tự
A267,Ngô Nhân Tịnh
A268,Ngô Quyền
A269,Ngô Tất Tố
A270,Ngô Thời Nhiệm
A271,Ngô Văn Năm
A272,Nguyễn Hồng
A273,Nguyễn An Ninh
A274,Nguyễn An Khương
A275,Nguyễn Bá Tòng
A276,Nguyễn Biểu
A277,Nguyễn Bỉnh Khiêm
A278,Nguyễn Cảnh Chân
A279,Nguyễn Chế Nghĩa
A280,Nguyễn Chí Thanh
A281,Nguyễn Công Trứ
A282,Nguyễn Cư Trinh
A283,Nguyễn Cửu Vân
A284,Nguyễn Du
A285,Nguyễn Duy
A286,Nguyễn Duy Dương
A287,Nguyễn Đình Chi
A288,Nguyễn Đình Chiểu
A289,Nguyễn Đình Chính
A290,Nguyễn Đức Thi
A291,Nguyễn Hiền Lương
A292,Nguyễn Hồng Đào
A293,Nguyễn Huệ
A294,Nguyễn Huy Lượng
A295,Nguyễn Huy Tự
A296,Nguyễn Hữu Cảnh
A297,Nguyễn Hữu Cầu
A298,Nguyễn Khắc Nhu
A299,Nguyễn Khuyến
A300,Nguyễn Khoái
A301,Nguyễn Kiệm
A302,Nguyễn Kim
A303,Nguyễn Lâm
A304,Nguyễn Ngọc Phượng
A305,Nguyễn Ngọc Cung
A306,Nguyễn Ngọc Nhật
A307,Nguyễn Ngọc Tịnh
A308,Nguyễn Oanh
A309,Nguyễn Phạm Tuân
A310,Nguyễn Phi Khanh
A311,Nguyễn Phúc Chu
A312,Nguyễn Siêu
A313,Nguyễn Sơn Hà
A314,Nguyễn Súy
A315,Nguyễn Tất Thành
A316,Nguyễn Thái Bình
A317,Nguyễn Thái Học
A318,Nguyễn Thái Sơn
A319,Nguyễn Thần Hiến
A320,Nguyễn Thi
A321,Nguyễn Thị Diệu
A322,Nguyễn Thị Huynh
A323,Nguyễn Thị Minh Khai
A324,Nguyễn Thị Nghĩa
A325,Nguyễn Thị Nhỏ
A326,Nguyễn Thị Tần
A327,Nguyễn Thị Thập
A328,Nguyễn Thị Trang
A329,Nguyễn Thiện Thuật
A330,Nguyễn Thông
A331,Nguyễn Thời Trung
A332,Nguyễn Thượng Hiền
A333,Nguyễn Tiểu La
A334,Nguyễn Trãi
A335,Nguyễn Tri Phương
A336,Nguyễn Trọng Tuyển
A337,Nguyễn Trường Tộ
A338,Nguyễn Trung Ngạn
A339,Nguyễn Trung Trực
A340,Nguyễn Tường Tam
A341,Nguyễn Văn Bảo
A342,Nguyễn Văn Bình
A343,Nguyễn Văn Chiêm
A344,Nguyễn Văn Của
A345,Nguyễn Văn Cừ
A346,Nguyễn Văn Đậu
A347,Nguyễn Văn Đừng
A348,Nguyễn Văn Hai
A349,Nguyễn Văn Lạc
A350,Nguyễn Văn Linh
A351,Nguyễn Văn Luông
A352,Nguyễn Văn Nghi
A353,Nguyễn Văn Nguyễn
A354,Nguyễn Văn Thu
A355,Nguyễn Văn Trỗi
A356,Nguyễn Xuân Phụng
A357,Nhật Le
A358,Nhật Tảo
A359,Nhiễu Tử
A360,Núi Thành
A361,Nơ Trang Long
A362,Nguyến Xí
A363,Ông Ích Khiêm
A364,Ông Địa
A365,Pasteur
A366,Phạm Đôn
A367,Phạm Đình Hổ
A368,Phạm Hồng Thái
A369,Phạm Hữu Chí
A370,Phạm Ngọc Thạch
A371,Phạm Ngũ Lão
A372,Phạm Phú Thứ
A373,Phạm Thế Hiển
A374,Phạm Thúc Duyên
A375,Phạm Văn Chí
A376,Phạm Văn Chiêu
A377,Phạm Văn Đạt
A378,Phạm Văn Hai
A379,Phạm Viết Chánh
A380,Phan Bội Châu
A381,Phan Chu Trinh
A382,Phan Đăng Lưu
A383,Phan Đình Phùng
A384,Phan Huy Chú
A385,Phan Huy Ích
A386,Phan Kế Bình
A387,Phan Khắc Bính
A388,Phan Liêm
A389,Phan Ngữ
A390,Phan Phú Tiên
A391,Phan Tây Hồ
A392,Phan Thúc Duyện
A393,Phan Tôn
A394,Phan Văn Đạt
A395,Phan Văn Hân
A396,Phan Văn Khỏe
A397,Phan Văn Trị
A398,Phan Xích Long
A399,Phong Phú
A400,Phó Cơ Điều
A401,Phó Đức Chính
A402,Phổ Quang
A403,Phú Giáo
A404,Phú Hòa
A405,Phú Hữu
A406,Phú Lâm
A407,Phú Thọ
A408,Phù Đổng Thiên Vương
A409,Phùng Hưng
A410,Phùng Khắc Khoan
A411,Phước Hưng
A412,Quang Hiền
A413,Quang Trung
A414,Quân Sự
A415,Quốc Lộ 1A
A416,Quốc Lộ 13
A417,Quốc Lộ 22
A418,Rạch Cầu Chông
A419,Sông Đáy
A420,Sông Đà
A421,Sông Thao
A422,Sông Thương
A423,Sương Nguyệt Ánh
A424,Sư Vạn Hạnh
A425,Tái Thiết
A426,Tạ Uyên
A427,Tam Đảo
A428,Tản Đà
A429,Tăng Bạt Hổ
A430,Tân Hàn
A431,Tân Hải
A432,Tân Hóa
A433,Tân Hòa Đông
A434,Tân Hương
A435,Tân Hưng
A436,Tân Khai
A437,Tân Quý
A438,Tân Kỳ Tân Quý
A439,Tân Phước
A440,Tân Sinh
A441,Tân Sơn
A442,Tân Sơn Nhì
A443,Tân Thành
A444,Tân Thọ
A445,Tân Tiến
A446,Tân Trang
A447,Tây Thạnh
A448,Thạch Thị Thanh
A449,Thái Phiên
A450,Thái Văn Lung
A451,Tháp Mười
A452,Thành Công
A453,Thành Thái
A454,Thăng Long
A455,Thi Sách
A456,Thích Quảng Đức
A457,Thiên Hộ Dương
A458,Thiên Phước
A459,Thống Nhất
A460,Thuận Kiều
A461,Thủ Khoa Huân
A462,Tiền Giang
A463,Tỉnh Lộ 14
A464,Tỉnh Lộ 15
A465,Tỉnh Lộ 34
A466,Tô Hiến Thành
A467,Tôn Đàn
A468,Tôn Đức Thắng
A469,Tôn Thất Đạm
A470,Tôn Thất Hiệp
A471,Tôn Thất Thiệp
A472,Tôn Thất Thuyết
A473,Tôn Thất Tùng
A474,Tổng Lung
A475,Trang Tử
A476,Trà Khúc
A477,Trần Bình
A478,Trần Bình Trọng
A479,Trần Cao Vân
A480,Trần Chánh Chiếu
A481,Trần Điện
A482,Trần Đình Xu
A483,Trần Đức
A484,Trần Hòa
A485,Trần Huy Liệu
A486,Trần Hưng Đạo
A487,Trần Hữu Trang
A488,Trần Kế Xương
A489,Trần Khánh Dư
A490,Trần Khắc Chân
A491,Trần Lực
A492,Trần Mai Ninh
A493,Trần Minh Quyền
A494,Trần Não
A495,Trần Nguyên Hãn
A496,Trần Nhân Tôn
